average_funded,total_rounds,average_participants,products_number,offices,mba_degree,other_degree,age,ipo_True,is_closed_True,is_acquired_True
3059464.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
8300000.0,1,1.0,1.0,1.0,2.0,1.0,2983.0,0,0,0
11750000.0,2,2.0,1.0,1.0,1.0,4.0,3490.0,0,0,1
21000000.0,1,2.0,3.0,4.0,1.0,7.0,3305.0,0,0,0
12094040.0,1,6.0,1.0,1.0,1.0,3.0,2922.0,0,0,0
3659714.0,1,0.0,1.0,5.0,9.0,20.0,5844.0,1,0,0
8114600.0,2,2.5,1.0,1.0,1.0,1.0,2800.0,0,0,1
2524787.5,2,2.0,1.0,1.0,1.0,3.0,2602.0,0,0,0
876625.0,2,0.5,1.0,1.0,1.0,1.0,1826.0,0,0,0
100000000.0,1,1.0,1.0,1.0,1.0,3.0,1096.0,0,0,0
3800000.0,1,1.0,1.0,2.0,1.0,1.0,2557.0,0,0,0
5000.0,1,1.0,1.0,1.0,1.0,3.0,275.0,0,0,0
5628800.0,1,3.0,1.0,1.0,1.0,3.0,1826.0,0,0,1
170000.0,1,0.0,1.0,1.0,1.0,3.0,941.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,1.0,853.0,0,0,0
15000000.0,2,0.5,1.0,1.0,2.0,9.0,3077.0,0,0,1
5666666.6667,3,1.6667,1.0,1.0,1.0,1.0,1826.0,0,0,0
105000.0,1,0.0,1.0,1.0,1.0,3.0,1411.0,0,0,0
75000.0,1,0.0,1.0,1.0,1.0,3.0,915.0,0,0,0
6300000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
275000000.0,1,5.0,1.0,1.0,1.0,1.0,40.0,0,0,0
5216666.6667,3,1.3333,1.0,1.0,1.0,1.0,3611.0,0,0,1
3700000.0,1,1.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
7500000.0,2,1.5,1.0,1.0,1.0,3.0,2922.0,0,0,0
192622.0,1,0.0,1.0,1.0,1.0,3.0,579.0,0,0,0
1067276.0,2,1.5,1.0,1.0,1.0,3.0,1826.0,0,0,0
50000.0,1,0.0,1.0,1.0,1.0,3.0,1402.0,0,1,0
2285000.0,2,0.5,1.0,1.0,1.0,3.0,1826.0,0,1,0
17500000.0,2,0.5,1.0,1.0,1.0,4.0,1826.0,0,0,0
150000.0,1,0.0,1.0,1.0,1.0,3.0,1826.0,0,0,0
2000019.0,1,0.0,1.0,1.0,1.0,15.0,11323.0,1,0,0
2999999.5,2,3.5,1.0,1.0,1.0,3.0,1924.0,0,0,0
2083333.3333,3,2.0,1.0,1.0,1.0,2.0,2922.0,0,0,0
1960000.0,1,2.0,1.0,2.0,1.0,3.0,1096.0,0,0,0
2339333.3333,3,1.6667,1.0,1.0,1.0,3.0,1218.0,0,0,0
1960000.0,1,5.0,1.0,1.0,1.0,3.0,680.0,0,0,0
1960000.0,2,0.0,1.0,1.0,1.0,3.0,6606.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,3.0,1706.0,0,0,0
206000000.0,1,0.0,1.0,1.0,1.0,2.0,33603.0,0,0,0
6143559.75,4,0.0,1.0,1.0,1.0,3.0,2557.0,0,0,0
21401476.5,2,3.5,1.0,1.0,1.0,3.0,1826.0,0,0,0
1960000.0,1,1.0,1.0,1.0,1.0,2.0,334.0,0,0,0
1400000.0,2,3.0,1.0,1.0,1.0,1.0,731.0,0,0,0
